fips,county,year,netmigration_1864,pop_1864,rate_1864,netmigration_total,pop_total,rate_total
000,Colorado,1970,29861,1864101,1.6,35636,2224610,1.6
001,Adams County,1970,2385,135810,1.76,3285,187058,1.76
003,Alamosa County,1970,247,8294,2.98,342,11484,2.98
005,Arapahoe County,1970,2728,114612,2.38,3896,163683,2.38
007,Archuleta County,1970,-314,2230,-14.08,-380,2698,-14.08
009,Baca County,1970,-135,4017,-3.36,-190,5653,-3.36
011,Bent County,1970,-264,5989,-4.41,-286,6488,-4.41
013,Boulder County,1970,4191,114056,3.67,4903,133432,3.67
014,Broomfield County,1970,,,,,,
015,Chaffee County,1970,197,7637,2.58,265,10273,2.58
017,Cheyenne County,1970,-66,1977,-3.34,-80,2396,-3.34
019,Clear Creek County,1970,627,4993,11.98,598,4993,11.98
021,Conejos County,1970,-309,6777,-4.56,-357,7829,-4.56
023,Costilla County,1970,-58,2836,-2.05,-63,3080,-2.05
025,Crowley County,1970,-28,3085,-0.88,-27,3085,-0.88
027,Custer County,1970,16,905,1.77,20,1131,1.77
029,Delta County,1970,-116,9656,-1.2,-184,15316,-1.2
031,Denver County,1970,-3197,515985,-0.49,-2542,515985,-0.49
033,Dolores County,1970,-100,1380,-7.25,-118,1628,-7.25
035,Douglas County,1970,489,5911,8.27,711,8594,8.27
037,Eagle County,1970,1170,7689,13.55,1042,7689,13.55
039,Elbert County,1970,36,2608,1.38,54,3912,1.38
041,El Paso County,1970,9566,238384,3.98,9477,238384,3.98
043,Fremont County,1970,392,13480,2.91,643,22110,2.91
045,Garfield County,1970,383,12407,3.09,462,14965,3.09
047,Gilpin County,1970,128,1157,11.07,144,1301,11.07
049,Grand County,1970,281,3955,7.11,301,4236,7.11
051,Gunnison County,1970,317,7714,4.03,311,7714,4.03
053,Hinsdale County,1970,-6,153,-3.94,-8,203,-3.94
055,Huerfano County,1970,-87,6527,-1.23,-80,6527,-1.23
057,Jackson County,1970,11,566,1.95,36,1850,1.95
059,Jefferson County,1970,7391,175081,4.22,10035,237712,4.22
061,Kiowa County,1970,-24,1033,-2.32,-47,2022,-2.32
063,Kit Carson County,1970,8,6737,0.12,9,7579,0.12
065,Lake County,1970,235,3652,6.44,535,8313,6.44
067,La Plata County,1970,-475,17150,-2.77,-535,19316,-2.77
069,Larimer County,1970,3647,72988,5,4556,91179,5
071,Las Animas County,1970,-481,14077,-3.42,-540,15803,-3.42
073,Lincoln County,1970,47,4311,1.09,53,4861,1.09
075,Logan County,1970,-166,18881,-0.82,-155,18881,-0.82
077,Mesa County,1970,278,39185,0.71,387,54548,0.71
079,Mineral County,1970,-5,78,6.42,51,794,6.42
081,Moffat County,1970,-162,5044,-3.21,-211,6569,-3.21
083,Montezuma County,1970,-110,8389,-1.31,-171,13040,-1.31
